"school","contact_email","contact_type","likely_fit_reason","source_url","notes"
"University of Florida Levin College of Law","admissions@law.ufl.edu","JD admissions","tax and compliance; criminal justice; policy","https://law.ufl.edu/admissions-aid/contact-admissions/",""
"University of Georgia School of Law","ugajd@uga.edu","JD admissions","public service; business and international law","https://www.law.uga.edu/contact-admissions",""
"University of Illinois College of Law","law-admissions@illinois.edu","JD admissions","corporate and commercial law; international law","https://law.illinois.edu/admissions/jd-admissions/contact-our-jd-admissions-team/",""
"University of Maryland Francis King Carey School of Law","admissions@law.umaryland.edu","Admissions","public law; government; policy","https://www.law.umaryland.edu/admissions--aid/contact-admissions/",""
"University of Miami School of Law","admissions@law.miami.edu","JD admissions","transnational business; international law; AML region overlap","https://admissions.law.miami.edu/connect/index.html",""
"University of Michigan Law School","law.jd.admissions@umich.edu","JD admissions","public law; international law; institutions","https://michigan.law.umich.edu/admissions-office",""
"University of Minnesota Law School","jdadmissions@umn.edu","JD admissions","rule of law; international and comparative law","https://law.umn.edu/contact",""
"University of Pittsburgh School of Law","admitlaw@pitt.edu","Admissions","public law; governance; compliance","https://www.law.pitt.edu/admissions/contact-admissions",""
"University of Southern California Gould School of Law","admissions@law.usc.edu","JD admissions","business law; government regulation","https://gould.usc.edu/academics/degrees/jd/contact/",""
"University of Texas School of Law","admissions@law.utexas.edu","Admissions","public law; business law; policy","https://law.utexas.edu/admissions/contact/",""
"University of Virginia School of Law","admissions@law.virginia.edu","Admissions","public law; institutions; public service","https://www.law.virginia.edu/admissions/admissions/jd-admissions/contact-us","Email decoded from UVA's official obfuscated admissions page."
"Vanderbilt Law School","admissions@law.vanderbilt.edu","Admissions","law and government; criminal justice","https://admissions.law.vanderbilt.edu/portal/class-visit",""
"Wake Forest University School of Law","llm@wfu.edu","Graduate admissions","business law and compliance overlap","https://law.wfu.edu/vir-engage-with-us/","Using the published graduate admissions email because the JD page routes inquiries to a web form rather than listing an email."
"Washington University in St. Louis School of Law","applylaw@wustl.edu","Admissions","empirical legal research; public law","https://law.washu.edu/contact-us/",""
"William & Mary Law School","lawadm@wm.edu","Admissions","election law; government; public law","https://law.wm.edu/admissions/jdprograms/connect-visit/contact-us-and-meet-the-team/","Email expanded from William & Mary's official shortcode on the admissions page."
"University of Wisconsin Law School","admissions@law.wisc.edu","Admissions","institutions; administrative and public law","https://law.wisc.edu/prospective/contact.html",""
"Yale Law School","admissions.law@yale.edu","JD admissions","public integrity; comparative law; institutions","https://law.yale.edu/about-yale-law-school/offices-services",""
